title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Shingeki no Kyojin: The Final Season,進撃の巨人 The Final Season,进击的巨人 最终季 Part.2,2021,Action|Drama|Suspense,8.78,27,1503457,87.0,,,,,7.7,87.0,12338.0,29.51
Vinland Saga,ヴィンランド・サガ,冰海战记,2019,Action|Adventure|Drama,8.78,26,1044428,87.5,8.8,19.0,128976.0,88.0,8.3,30.0,12514.0,76.23
Hajime no Ippo,はじめの一歩 THE FIGHTING!,,2000,Sports|Action|Comedy,8.78,25,338326,88.0,8.8,20.0,17151.0,87.33,,,,
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,排球少年 乌野高校 VS 白鸟泽学园高校,2016,Sports|Comedy|Fantasy,8.77,29,867950,86.0,8.3,93.0,15253.0,38.67,8.4,21.0,6382.0,83.61
Shingeki no Kyojin: The Final Season Part 2,進撃の巨人 The Final Season Part 2,进击的巨人 最终季 完结篇 前篇,2022,Action|Drama|Suspense,8.77,30,916347,85.5,,,,,7.7,83.0,10010.0,32.79
Monogatari Series: Second Season,〈物語〉シリーズ セカンドシーズン,物语系列 第二季,2013,Comedy|Mystery|Romance|Supernatural|Adventure,8.76,31,378429,85.0,8.6,47.0,3697.0,69.33,8.2,38.0,12595.0,69.67
Boku no Hero Academia: Final Season,僕のヒーローアカデミア FINAL SEASON,彻夜之歌 第二季,2025,Action,8.73,32,137246,84.5,,,,,7.7,85.0,5109.0,31.15
Kingdom 5th Season,キングダム 第5シリーズ,,2024,Action|Comedy,8.73,33,27665,84.0,8.5,65.0,181.0,57.33,,,,
Bocchi the Rock!,ぼっち・ざ・ろっく！,孤独摇滚！,2022,Comedy|Drama,8.73,34,467344,83.5,8.3,97.0,8252.0,36.0,8.4,24.0,38224.0,81.15
Kingdom 4th Season,キングダム 第4シリーズ,,2022,Action|Comedy,8.73,35,39901,83.0,8.5,70.0,181.0,54.0,,,,
Hibike! Euphonium 3,響け！ユーフォニアム3,,2024,Drama|History,8.72,36,37805,82.5,8.4,79.0,6208.0,48.0,,,,
Mushishi Zoku Shou 2nd Season,蟲師 続章,,2014,Adventure|Mystery|Slice of Life|Supernatural|Drama|Fantasy,8.72,37,115915,82.0,8.8,17.0,3604.0,89.33,,,,
86 Part 2,86―エイティシックス―,86 -不存在的战区-,2021,Drama|Sci-Fi|Action,8.72,38,367017,81.5,8.2,123.0,14019.0,18.67,7.6,99.0,15666.0,19.67
Chi. Chikyuu no Undou ni Tsuite,チ。―地球の運動について―,,2024,Drama|History,8.71,41,111498,80.0,8.4,71.0,6208.0,53.33,,,,
Code Geass: Hangyaku no Lelouch,コードギアス 反逆のルルーシュ,Code Geass 反叛的鲁路修,2006,Award Winning|Drama|Sci-Fi|Action,8.71,42,1510061,79.5,8.7,26.0,101016.0,83.33,8.3,34.0,21319.0,72.95
Mob Psycho 100 III,モブサイコ100 III,灵能百分百 第三季,2022,Action|Comedy|Supernatural,8.71,39,435888,81.0,,,,,8.2,49.0,11182.0,60.66
Jujutsu Kaisen 2nd Season,呪術廻戦 懐玉・玉折／渋谷事変,咒术回战 怀玉･玉折 / 涩谷事变,2023,Action|Supernatural|Adventure,8.71,40,791953,80.5,7.5,148.0,15780.0,2.0,7.2,120.0,9228.0,2.46
Boku no Kokoro no Yabai Yatsu 2nd Season,僕の心のヤバイやつ 第2期,我心里危险的东西 第二季,2024,Comedy|Romance|Drama|History,8.7,43,171231,79.0,8.4,81.0,6208.0,46.67,8.3,32.0,12945.0,74.59
