rank,title,title_jp,score,scored_by,members,year,genres,url
186,Owarimonogatari,終物語,8.45,250332,507886,2015,Comedy|Mystery|Supernatural,https://myanimelist.net/anime/31181/Owarimonogatari
187,Banana Fish,BANANA FISH,8.45,411008,954663,2018,Action|Adventure|Drama|Suspense,https://myanimelist.net/anime/36649/Banana_Fish
190,Grand Blue,ぐらんぶる,8.45,477928,894621,2018,Comedy,https://myanimelist.net/anime/37105/Grand_Blue
188,Chihayafuru 3,ちはやふる 3,8.45,70449,156112,2019,Drama|Romance|Sports,https://myanimelist.net/anime/37379/Chihayafuru_3
192,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,8.44,872765,1232731,2015,Action|Adventure,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen
195,Medalist 2nd Season,メダリスト 第2期,8.43,3835,31684,2026,Drama|Sports,https://myanimelist.net/anime/61335/Medalist_2nd_Season
199,Dandadan,ダンダダン,8.43,569276,934352,2024,Action|Comedy|Supernatural,https://myanimelist.net/anime/57334/Dandadan
195,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ゼロから始める異世界生活 3rd season,8.43,215887,480145,2024,Drama|Fantasy|Suspense,https://myanimelist.net/anime/54857/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season
198,Zoku Owarimonogatari,続・終物語,8.43,120611,250596,2019,Comedy|Mystery|Supernatural,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
198,Chainsaw Man,チェンソーマン,8.43,1113906,1920973,2022,Action|Fantasy,https://myanimelist.net/anime/44511/Chainsaw_Man
196,Spy x Family,SPY×FAMILY,8.43,1146172,1861249,2022,Action|Award Winning|Comedy,https://myanimelist.net/anime/50265/Spy_x_Family
201,Haikyuu!!,ハイキュー!!,8.43,1336768,2154156,2014,Sports,https://myanimelist.net/anime/20583/Haikyuu
202,Golden Kamuy 3rd Season,ゴールデンカムイ,8.43,97482,197488,2020,Action|Adventure,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
204,Dandadan 2nd Season,ダンダダン 第2期,8.42,269586,518833,2025,Action|Comedy|Supernatural,https://myanimelist.net/anime/60543/Dandadan_2nd_Season
212,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re：ゼロから始める異世界生活 2 part 2,8.42,624424,1051765,2021,Drama|Fantasy|Suspense,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
207,Kono Oto Tomare! Part 2,この音とまれ！,8.42,106805,201220,2019,Drama,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
208,Koukaku Kidoutai: Stand Alone Complex,攻殻機動隊 STAND ALONE COMPLEX,8.42,171837,422021,2002,Award Winning|Mystery|Sci-Fi,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
205,Bungou Stray Dogs 4th Season,文豪ストレイドッグス,8.42,146170,354304,2023,Action|Mystery,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
218,Saiki Kusuo no Ψ-nan,斉木楠雄のΨ難,8.41,692078,1238653,2016,Comedy,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
219,Saiki Kusuo no Ψ-nan 2,斉木楠雄のΨ難 2,8.41,427137,714292,2018,Comedy,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
222,Mononoke,モノノ怪,8.41,105161,364420,2007,Horror|Mystery|Supernatural|Suspense,https://myanimelist.net/anime/2246/Mononoke
221,Kimetsu no Yaiba,鬼滅の刃,8.41,2338985,3407458,2019,Action|Award Winning|Supernatural,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
223,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,8.4,1202016,1919280,2019,Comedy|Romance,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
233,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,無職転生 II ～異世界行ったら本気だす～ (第2クール),8.39,319794,555762,2024,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/55888/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_Part_2
230,Houseki no Kuni,宝石の国,8.39,218099,513625,2017,Action|Drama|Fantasy|Mystery,https://myanimelist.net/anime/35557/Houseki_no_Kuni
232,Major S5,メジャー,8.39,43731,75640,2009,Sports,https://myanimelist.net/anime/5028/Major_S5
235,Kaze ga Tsuyoku Fuiteiru,風が強く吹いている,8.38,150388,332709,2018,Drama|Sports,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
239,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),8.38,270415,602434,2021,Action|Sci-Fi|Suspense,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
236,Mahou Shoujo Madoka★Magica,魔法少女まどか★マギカ,8.38,811170,1398072,2011,Award Winning|Drama|Suspense,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
247,Medalist,メダリスト,8.37,35797,85882,2025,Drama|Sports,https://myanimelist.net/anime/55318/Medalist
243,3-gatsu no Lion,3月のライオン,8.37,299371,729444,2016,Drama,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
244,Haikyuu!! To the Top,ハイキュー!! TO THE TOP,8.37,642206,1042151,2020,Sports,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
243,Chihayafuru 2,ちはやふる 2,8.37,137812,251685,2013,Drama|Romance|Sports,https://myanimelist.net/anime/14397/Chihayafuru_2
257,Girls Band Cry,ガールズバンドクライ,8.36,52856,132811,2024,Drama,https://myanimelist.net/anime/55102/Girls_Band_Cry
253,Cross Game,クロスゲーム,8.36,53541,132297,2009,Drama|Romance|Sports,https://myanimelist.net/anime/5941/Cross_Game
260,Karakai Jouzu no Takagi-san 3,からかい上手の高木さん3,8.36,95501,210213,2022,Comedy|Romance,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
252,Barakamon,ばらかもん,8.36,360406,709417,2014,Slice of Life,https://myanimelist.net/anime/22789/Barakamon
272,Golden Kamuy: Saishuushou,ゴールデンカムイ 最終章,8.35,3857,50207,2026,Action|Adventure,https://myanimelist.net/anime/55772/Golden_Kamuy__Saishuushou
266,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,やはり俺の青春ラブコメはまちがっている。完,8.35,452318,812455,2020,Comedy|Romance,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
264,Non Non Biyori Nonstop,のんのんびより のんすとっぷ,8.35,53589,138129,2021,Slice of Life,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
269,Fumetsu no Anata e,不滅のあなたへ,8.35,420229,986471,2021,Adventure|Drama|Supernatural,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
268,Baccano!,バッカーノ！,8.35,397749,954368,2007,Action|Mystery|Supernatural,https://myanimelist.net/anime/2251/Baccano
282,Yofukashi no Uta Season 2,よふかしのうた Season2,8.34,84384,229314,2025,Romance|Supernatural,https://myanimelist.net/anime/58390/Yofukashi_no_Uta_Season_2
276,Hibike! Euphonium 2,響け！ユーフォニアム2,8.34,135381,255372,2016,Drama,https://myanimelist.net/anime/31988/Hibike_Euphonium_2
274,86,86―エイティシックス―,8.34,499740,953657,2021,Drama|Sci-Fi,https://myanimelist.net/anime/41457/86
